chr22	21971222	20	19
chr22	21971252	8	8
chr22	21971269	3	3
chr22	21971308	1	1
chr22	21971316	3	3
chr22	21971328	4	4
chr22	21971332	5	5
chr22	21971384	18	17
chr22	21971392	18	16
chr22	21971413	21	20
chr22	21971450	24	23
chr22	21971462	30	28
chr22	21971491	26	25
chr22	21971512	23	23
chr22	21971541	21	18
chr22	21971546	23	22
chr22	21971583	39	26
chr22	21971603	34	31
chr22	21971653	26	25
chr22	21971662	24	24
chr22	21971701	41	40
chr22	21971708	42	41
chr22	21971713	37	37
chr22	21971761	14	12
chr22	21972018	7	7
chr22	21972051	11	11
chr22	21972076	6	6
chr22	21972099	6	5
chr22	21972125	15	9
chr22	21972639	16	13
chr22	21972731	24	23
chr22	21972764	25	25
chr22	21972808	15	15
chr22	21972812	13	13
chr22	21972834	10	10
chr22	21973018	26	19
chr22	21973265	30	28
chr22	21973294	29	27
chr22	21973319	36	27
chr22	21973353	45	40
chr22	21973355	44	37
chr22	21973361	39	35
chr22	21973385	35	32
chr22	21973447	26	22
chr22	21973479	29	27
chr22	21973623	9	9
chr22	21973634	11	11
chr22	21973643	13	12
chr22	21973687	24	21
chr22	21973789	29	28
chr22	21973812	31	31
chr22	21973953	7	7
chr22	21974000	15	13
chr22	21974037	12	12
chr22	21974064	19	15
chr22	21974088	23	23
chr22	21974271	13	13
chr22	21974300	26	24
chr22	21974377	16	14
chr22	21974437	21	20
chr22	21974465	23	22
chr22	21974587	15	14
chr22	21974597	12	11
chr22	21974631	16	5
chr22	21974647	16	16
chr22	21974661	16	14
chr22	21974720	12	12
chr22	21974731	14	12
chr22	21974794	31	29
chr22	21974846	23	16
chr22	21974873	7	7
chr22	21974880	6	6
chr22	21974909	10	2
chr22	21974983	12	8
chr22	21974997	12	10
chr22	21975117	17	15
chr22	21975131	14	8
chr22	21975160	11	9
chr22	21975175	13	9
chr22	21975198	14	11
chr22	21975445	21	18
chr22	21975493	55	54
chr22	21975505	62	62
chr22	21975517	59	59
chr22	21975541	25	25
chr22	21975548	22	19
chr22	21975603	26	22
chr22	21975669	17	16
chr22	21975898	23	13
chr22	21975920	42	42
chr22	21976027	49	48
chr22	21976269	26	21
chr22	21976416	5	5
chr22	21976462	48	48
chr22	21976512	77	71
chr22	21976722	44	40
chr22	21976755	49	47
chr22	21976836	17	17
chr22	21976910	36	36
chr22	21977027	23	21
chr22	21977029	21	20
chr22	21977039	15	15
chr22	21977130	18	17
chr22	21977158	57	27
chr22	21977249	29	27
chr22	21977257	27	24
chr22	21977295	19	17
chr22	21977434	17	16
chr22	21977515	23	3
